date,name,category,tag,fixed,start_time,end_time,duration,priority,dependencies
1,Sleep,other,fixed,true,0,480,480,0,
1,Breakfast,food,fixed,true,480,510,30,0,
1,Lunch,food,fixed,true,720,780,60,0,
1,Dinner,food,fixed,true,1080,1140,60,0,
1,Commute,other,fixed,true,510,540,30,0,
1,Work Block,work,fixed,true,780,960,180,0,
1,Study Algorithms,study,algorithms,false,540,720,120,9,
1,Data Structures Practice,study,coding,false,600,780,90,8,Study Algorithms
1,Gym Workout,exercise,fitness,false,1020,1200,90,6,
1,Grocery Shopping,errand,groceries,false,1020,1200,60,5,
1,Plan Tomorrow,other,planning,false,1260,1380,30,5,
2,Sleep,other,fixed,true,0,480,480,0,
2,Breakfast,food,fixed,true,480,510,30,0,
2,Lunch,food,fixed,true,720,780,60,0,
2,Dinner,food,fixed,true,1080,1140,60,0,
2,Commute,other,fixed,true,510,540,30,0,
2,Lecture Block,study,fixed,true,540,660,120,0,
2,Review Lecture Notes,study,review,false,660,780,90,8,Lecture Block
2,Project Coding,study,project,false,900,1080,150,10,
2,Email Follow Up,work,admin,false,540,660,30,5,
2,Evening Walk,exercise,health,false,1140,1260,60,4,
2,Read Fiction,entertainment,reading,false,1260,1380,60,3,
3,Sleep,other,fixed,true,0,480,480,0,
3,Breakfast,food,fixed,true,480,510,30,0,
3,Lunch,food,fixed,true,720,780,60,0,
3,Dinner,food,fixed,true,1080,1140,60,0,
3,Commute,other,fixed,true,510,540,30,0,
3,Work Block,work,fixed,true,780,960,180,0,
3,Math Review,study,math,false,840,1020,120,8,
3,Resume Update,work,career,false,900,1020,60,7,
3,Apply Internship,work,career,false,960,1140,90,8,Resume Update
3,Laundry,errand,home,false,900,1080,60,5,
3,Stretching,exercise,health,false,1260,1320,30,3,
4,Sleep,other,fixed,true,0,480,480,0,
4,Breakfast,food,fixed,true,480,510,30,0,
4,Lunch,food,fixed,true,720,780,60,0,
4,Dinner,food,fixed,true,1080,1140,60,0,
4,Commute,other,fixed,true,510,540,30,0,
4,Lecture Block,study,fixed,true,540,660,120,0,
4,Finish Lab,study,lab,false,660,840,120,9,Lecture Block
4,Research Optimization,study,or,false,840,1020,90,7,
4,Coffee Break,food,snack,false,900,960,30,3,
4,Gym Workout,exercise,fitness,false,1020,1200,90,6,
4,Call Family,other,personal,false,1080,1200,45,4,
5,Sleep,other,fixed,true,0,480,480,0,
5,Breakfast,food,fixed,true,480,510,30,0,
5,Lunch,food,fixed,true,720,780,60,0,
5,Dinner,food,fixed,true,1080,1140,60,0,
5,Commute,other,fixed,true,510,540,30,0,
5,Work Block,work,fixed,true,780,960,180,0,
5,Project Coding,study,project,false,900,1080,150,10,
5,Write Project Notes,study,project,false,960,1140,60,7,Project Coding
5,Fill Gas,errand,car,false,960,1080,30,4,
5,Watch Show,entertainment,relax,false,1200,1380,90,3,
5,Plan Tomorrow,other,planning,false,1260,1380,30,5,
5,Weekly Planning,other,planning,false,1140,1260,60,6,
6,Sleep,other,fixed,true,0,540,540,0,
6,Breakfast,food,fixed,true,540,570,30,0,
6,Lunch,food,fixed,true,720,780,60,0,
6,Dinner,food,fixed,true,1080,1140,60,0,
6,Family Time,other,fixed,true,840,930,90,0,
6,Read OR Chapter,study,or,false,780,960,90,7,
6,Grocery Shopping,errand,groceries,false,1020,1200,60,5,
6,Meal Prep,food,cooking,false,900,1080,90,5,
6,Basketball,exercise,sport,false,960,1140,90,5,
6,Movie Night,entertainment,movie,false,1140,1380,120,4,
7,Sleep,other,fixed,true,0,540,540,0,
7,Breakfast,food,fixed,true,540,570,30,0,
7,Lunch,food,fixed,true,720,780,60,0,
7,Dinner,food,fixed,true,1080,1140,60,0,
7,Family Time,other,fixed,true,840,930,90,0,
7,Review Flashcards,study,review,false,1020,1140,60,6,
7,Clean Room,errand,home,false,840,1020,60,4,
7,Call Family,other,personal,false,1080,1200,45,4,
7,Evening Walk,exercise,health,false,1140,1260,60,4,
7,Gaming,entertainment,relax,false,1200,1380,90,3,
7,Budget Check,errand,finance,false,780,900,45,5,
8,Sleep,other,fixed,true,0,480,480,0,
8,Breakfast,food,fixed,true,480,510,30,0,
8,Lunch,food,fixed,true,720,780,60,0,
8,Dinner,food,fixed,true,1080,1140,60,0,
8,Commute,other,fixed,true,510,540,30,0,
8,Work Block,work,fixed,true,780,960,180,0,
8,Study Algorithms,study,algorithms,false,540,720,120,9,
8,Data Structures Practice,study,coding,false,600,780,90,8,Study Algorithms
8,Gym Workout,exercise,fitness,false,1020,1200,90,6,
8,Grocery Shopping,errand,groceries,false,1020,1200,60,5,
8,Plan Tomorrow,other,planning,false,1260,1380,30,5,
9,Sleep,other,fixed,true,0,480,480,0,
9,Breakfast,food,fixed,true,480,510,30,0,
9,Lunch,food,fixed,true,720,780,60,0,
9,Dinner,food,fixed,true,1080,1140,60,0,
9,Commute,other,fixed,true,510,540,30,0,
9,Lecture Block,study,fixed,true,540,660,120,0,
9,Review Lecture Notes,study,review,false,660,780,90,8,Lecture Block
9,Project Coding,study,project,false,900,1080,150,10,
9,Email Follow Up,work,admin,false,540,660,30,5,
9,Evening Walk,exercise,health,false,1140,1260,60,4,
9,Read Fiction,entertainment,reading,false,1260,1380,60,3,
10,Sleep,other,fixed,true,0,480,480,0,
10,Breakfast,food,fixed,true,480,510,30,0,
10,Lunch,food,fixed,true,720,780,60,0,
10,Dinner,food,fixed,true,1080,1140,60,0,
10,Commute,other,fixed,true,510,540,30,0,
10,Work Block,work,fixed,true,780,960,180,0,
10,Math Review,study,math,false,840,1020,120,8,
10,Resume Update,work,career,false,900,1020,60,7,
10,Apply Internship,work,career,false,960,1140,90,8,Resume Update
10,Laundry,errand,home,false,900,1080,60,5,
10,Stretching,exercise,health,false,1260,1320,30,3,
10,Project Demo Prep,study,project,false,900,1080,120,10,Project Coding
11,Sleep,other,fixed,true,0,480,480,0,
11,Breakfast,food,fixed,true,480,510,30,0,
11,Lunch,food,fixed,true,720,780,60,0,
11,Dinner,food,fixed,true,1080,1140,60,0,
11,Commute,other,fixed,true,510,540,30,0,
11,Lecture Block,study,fixed,true,540,660,120,0,
11,Finish Lab,study,lab,false,660,840,120,9,Lecture Block
11,Research Optimization,study,or,false,840,1020,90,7,
11,Coffee Break,food,snack,false,900,960,30,3,
11,Gym Workout,exercise,fitness,false,1020,1200,90,6,
11,Call Family,other,personal,false,1080,1200,45,4,
12,Sleep,other,fixed,true,0,480,480,0,
12,Breakfast,food,fixed,true,480,510,30,0,
12,Lunch,food,fixed,true,720,780,60,0,
12,Dinner,food,fixed,true,1080,1140,60,0,
12,Commute,other,fixed,true,510,540,30,0,
12,Work Block,work,fixed,true,780,960,180,0,
12,Project Coding,study,project,false,900,1080,150,10,
12,Write Project Notes,study,project,false,960,1140,60,7,Project Coding
12,Fill Gas,errand,car,false,960,1080,30,4,
12,Watch Show,entertainment,relax,false,1200,1380,90,3,
12,Plan Tomorrow,other,planning,false,1260,1380,30,5,
12,Weekly Planning,other,planning,false,1140,1260,60,6,
13,Sleep,other,fixed,true,0,540,540,0,
13,Breakfast,food,fixed,true,540,570,30,0,
13,Lunch,food,fixed,true,720,780,60,0,
13,Dinner,food,fixed,true,1080,1140,60,0,
13,Family Time,other,fixed,true,840,930,90,0,
13,Read OR Chapter,study,or,false,780,960,90,7,
13,Grocery Shopping,errand,groceries,false,1020,1200,60,5,
13,Meal Prep,food,cooking,false,900,1080,90,5,
13,Basketball,exercise,sport,false,960,1140,90,5,
13,Movie Night,entertainment,movie,false,1140,1380,120,4,
14,Sleep,other,fixed,true,0,540,540,0,
14,Breakfast,food,fixed,true,540,570,30,0,
14,Lunch,food,fixed,true,720,780,60,0,
14,Dinner,food,fixed,true,1080,1140,60,0,
14,Family Time,other,fixed,true,840,930,90,0,
14,Review Flashcards,study,review,false,1020,1140,60,6,
14,Clean Room,errand,home,false,840,1020,60,4,
14,Call Family,other,personal,false,1080,1200,45,4,
14,Evening Walk,exercise,health,false,1140,1260,60,4,
14,Gaming,entertainment,relax,false,1200,1380,90,3,
14,Budget Check,errand,finance,false,780,900,45,5,
