name,date,type,fix,start_time,duration_minutes,importance,tags
Sleep,1,sleep,fixed,00:00,420,10,#sleep #health
Breakfast,1,food,flexible,Any,30,5,#food #morning
Dinner,1,food,flexible,Any,45,6,#food #dinner
University Lecture,1,study,fixed,09:30,80,10,#school #lecture
Lecture Review,1,study,flexible,Any,90,8,#school #review
Sleep,2,sleep,fixed,00:00,420,10,#sleep #health
Breakfast,2,food,flexible,Any,30,5,#food #morning
Dinner,2,food,flexible,Any,45,6,#food #dinner
Work Shift,2,work,fixed,13:00,300,10,#work
Gym,2,exercise,flexible,Any,60,7,#fitness #health
Sleep,3,sleep,fixed,00:00,420,10,#sleep #health
Breakfast,3,food,flexible,Any,30,5,#food #morning
Dinner,3,food,flexible,Any,45,6,#food #dinner
University Lecture,3,study,fixed,09:30,80,10,#school #lecture
Lecture Review,3,study,flexible,Any,90,8,#school #review
Sleep,4,sleep,fixed,00:00,420,10,#sleep #health
Breakfast,4,food,flexible,Any,30,5,#food #morning
Dinner,4,food,flexible,Any,45,6,#food #dinner
Work Shift,4,work,fixed,13:00,300,10,#work
Sleep,5,sleep,fixed,00:00,420,10,#sleep #health
Breakfast,5,food,flexible,Any,30,5,#food #morning
Dinner,5,food,flexible,Any,45,6,#food #dinner
Gym,5,exercise,flexible,Any,60,7,#fitness #health
Weekly Project Session,5,study,flexible,Any,180,9,#project #optimizer #coding
Sleep,6,sleep,fixed,00:30,480,10,#sleep #health
Breakfast,6,food,flexible,Any,30,5,#food #morning
Dinner,6,food,flexible,Any,45,6,#food #dinner
Entertainment Block,6,entertainment,flexible,Any,120,4,#relax #weekend
Sleep,7,sleep,fixed,00:30,480,10,#sleep #health
Breakfast,7,food,flexible,Any,30,5,#food #morning
Dinner,7,food,flexible,Any,45,6,#food #dinner
Weekly Planning,7,event,flexible,Any,45,7,#planning
Sleep,8,sleep,fixed,00:00,420,10,#sleep #health
Breakfast,8,food,flexible,Any,30,5,#food #morning
Dinner,8,food,flexible,Any,45,6,#food #dinner
University Lecture,8,study,fixed,09:30,80,10,#school #lecture
Lecture Review,8,study,flexible,Any,90,8,#school #review
Sleep,9,sleep,fixed,00:00,420,10,#sleep #health
Breakfast,9,food,flexible,Any,30,5,#food #morning
Dinner,9,food,flexible,Any,45,6,#food #dinner
Work Shift,9,work,fixed,13:00,300,10,#work
Gym,9,exercise,flexible,Any,60,7,#fitness #health
Sleep,10,sleep,fixed,00:00,420,10,#sleep #health
Breakfast,10,food,flexible,Any,30,5,#food #morning
Dinner,10,food,flexible,Any,45,6,#food #dinner
Friend Meetup,10,event,fixed,18:00,120,6,#social
Sleep,11,sleep,fixed,00:00,420,10,#sleep #health
Breakfast,11,food,flexible,Any,30,5,#food #morning
Dinner,11,food,flexible,Any,45,6,#food #dinner
Work Shift,11,work,fixed,13:00,300,10,#work
Sleep,12,sleep,fixed,00:00,420,10,#sleep #health
Breakfast,12,food,flexible,Any,30,5,#food #morning
Dinner,12,food,flexible,Any,45,6,#food #dinner
Weekly Project Session,12,study,flexible,Any,180,9,#project #optimizer #coding
Sleep,13,sleep,fixed,00:30,480,10,#sleep #health
Breakfast,13,food,flexible,Any,30,5,#food #morning
Dinner,13,food,flexible,Any,45,6,#food #dinner
Entertainment Block,13,entertainment,flexible,Any,120,4,#relax #weekend
Sleep,14,sleep,fixed,00:30,480,10,#sleep #health
Breakfast,14,food,flexible,Any,30,5,#food #morning
Dinner,14,food,flexible,Any,45,6,#food #dinner
Weekly Planning,14,event,flexible,Any,45,7,#planning
Sleep,15,sleep,fixed,00:00,420,10,#sleep #health
Breakfast,15,food,flexible,Any,30,5,#food #morning
